url,outlet,SB,id,RC1_Position_CL,RC1_Position_CR,RC2_Position_CL,RC2_Position_CR,RC3_Position_CL,RC3_Position_CR,RC4_Position_CL,RC4_Position_CR,RC5_Position_CL,RC5_Position_CR,RC6_Position_CL,RC6_Position_CR,Overall_Position_CL,Overall_Position_CR,SB_labeled
https://www.eldestapeweb.com/las-disparatadas-teorias-animales-sueltos-el-temor-que-gane-cristina-kirchner-n56921,El Destape,0.0,-7173905428650727075,0,0,1,-1,1,-1,0,0,1,0,-1,0,1,0,-1.0
https://www.lanacion.com.ar/lifestyle/juan-jose-campanella-ironizo-tweet-apunto-ricardo-nid2291147/,La Nacion,0.5,6691367890423479122,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,1.0
https://www.minutouno.com/politica/elecciones-2019/los-seis-candidatos-presidenciales-confirmaron-que-participaran-los-debates-electorales-n5052828,Minuto Uno,0.0,-8216454734361956032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://www.eldia.com/nota/2019-6-23-5-32-13-primer-paso-a-las-elecciones-de-octubre-ya-estan-anotadas-las-candidaturas-politica-y-economia,El Dia,0.2,7427220706995217092,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.0
https://www.pagina12.com.ar/193581-la-salud-cada-vez-mas-lejos-de-los-portenos,Pagina 12,-1.0,6652492314270594207,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1.0
https://tn.com.ar/politica/sergio-massa-tras-la-escalada-del-dolar-y-el-riesgo-pais-lo-mas-parecido-venezuela-es-la-argentina_986509/?__twitter_impression=true/?outputType=amp,Todo Noticias,-0.5,7294562634379214476,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1.0
https://www.ambito.com/politica/paso/ucr-quiere-cancelar-las-una-ley-y-ahorrar-al-pais-4000-millones-n5038921/amp,Ambito Financiero,0.0,-4076706853817960086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://www.infobae.com/deportes/2019/10/06/tras-el-golpe-sufrido-ante-river-boca-quiere-demostrar-que-esta-vivo-ante-defensa-y-justicia-para-liderar-la-superliga-hora-tv-y-formaciones/,Infobae,0.0,5947515335075789784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://www.ellitoral.com/politica/rossi-alberto-cristina-convertido-gran-esperanza-argentinos_0_Pij7ohJjwu.html,El Litoral,-1.0,8321505614974068666,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1.0
https://www.eldia.com/nota/2019-3-19-14-24-0-doble-procesamiento-con-prision-preventiva-contra-cristina-kirchner-por-subsidios-al-transporte-politica-y-economia#.XJFA9G9jpWI.twitter,El Dia,0.0,6627603217348775871,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1.0
https://www.laizquierdadiario.com/La-denuncia-por-abusos-contra-Manuel-Mosca-sacude-a-Vidal-y-a-la-Legislatura-bonaerense?utm_content=buffer8fa34&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,La Izquierda Diario,-1.0,4219609843426828992,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1.0
https://www.cronista.com/economiapolitica/Cristina-Kirchner-vuelve-el-viernes-22-de-marzo-y-apelara-su-procesamiento-20190319-0021.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1553010788,El Cronista,0.166666666666666,8037672664675302836,0,-1,-1,0,0,-1,1,-1,1,-1,-1,-1,0,-1,-1.0
https://www.eldestapeweb.com/nota/el-mensaje-de-alberto-fernandez-por-la-muerte-del-intendente-de-henderson-20198228170,El Destape,0.5,-2062053610324306684,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
https://www.laizquierdadiario.com/Octavio-Crivaro-Casi-siete-de-cada-diez-pibes-en-Santa-Fe-trabajan-en-negro,La Izquierda Diario,-1.0,-1563112477779818908,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0.0
https://radiomitre.cienradios.com/presidente-del-tribunal-juzgara-cristina-kirchner-aseguro-juicio-no-esta-suspendido/?utm_source=twitter&utm_medium=nota&utm_campaign=socialshare&hootPostID=5f6e8b363f8be8f4e388c921ac85e416,Radio Mitre,0.0,-1556533776897191741,-1,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1.0
https://www.clarin.com/politica/falso-mauricio-macri-auricular-debate-presidencial_0_lZTPanN3.html,Clarin,0.0,-6317940158872718323,0,1,0,1,1,0,0,1,-1,1,0,0,0,1,1.0
https://www.laizquierdadiario.com/Frigerio-dejo-abierta-la-posibilidad-de-que-Macri-baje-su-candidatura-presidencial?utm_content=buffer2dae3&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,La Izquierda Diario,0.0,-7263261780793295320,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0.0
https://www.radiodos.com.ar/14804-macri-recibe-a-la-la-reina-margarita-de-dinamarca-que-llego-ayer-al-pais?platform=hootsuite,Radio Dos,0.0,-1769791896648320487,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
https://www.cronista.com/columnistas/Dolar-planchado-la-clave-para-demoler-a-Kicillof-20190716-0078.html,El Cronista,0.111111111111111,293381187404244382,0,0,-1,1,0,-1,-1,0,-1,1,-1,1,-1,1,1.0
https://www.ambito.com/politica/mauricio-macri/sobreseen-cuatro-tuiteros-que-reprodujeron-mensaje-contra-macri-n5027753,Ambito Financiero,0.0,5517988857636333625,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.0
https://www.perfil.com/noticias/politica/bullrich-denuncio-al-periodista-cuneo-por-amenazar-a-macri.phtml,Perfil,-0.5,3708519119395153641,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0.0
https://www.cronista.com/economia-politica/Para-Alberto-Fernandez-el-gobierno-Macri-fue-una-estafa-y-una-tragedia-para-la-Argentina-20190912-0002.html#Echobox=1568291455,El Cronista,0.0,3800700881488913633,1,-1,0,-1,0,-1,1,-1,1,-1,0,-1,0,-1,-1.0
https://tn.com.ar/politica/miguel-angel-pichetto-sobre-la-derrota-del-gobierno-en-las-paso-es-un-castigo-de-la-clase-media_985530/,Todo Noticias,-0.333333333333333,3276761180649306523,0,0,1,-1,0,-1,0,-1,0,1,0,0,0,-1,-1.0
https://www.ellitoral.com/politica/macri-hacemos-cuesta-siempre_0_2M7WuTu8t9.html,El Litoral,0.285714285714285,-5129509265743570458,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,1.0
https://www.eldestapeweb.com/nota/alberto-fernandez-conto-la-historia-de-la-cinta-roja-que-lleva-en-su-mano-201982212130,El Destape,0.333333333333333,-1693969572505588111,1,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.0
https://www.cronista.com/economiapolitica/Cornejo-voto-y-criticoel-aparataje-fenomenal-del-peronismo-en-Mendoza-20190929-0002.html?utm_medium=Social&utm_source=Twitter#Echobox=1569770212,El Cronista,1.0,3737139717719933874,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1.0
https://www.perfil.com/noticias/columnistas/malestar-en-kicillof.phtml,Perfil,0.222222222222222,1370412125862412989,-1,0,-1,0,-1,0,-1,0,1,0,-1,0,-1,0,1.0
https://www.eldestapeweb.com/nota/todos-los-detalles-del-encuentro-entre-lula-da-silva-y-alberto-fernandez-20197811300,El Destape,-0.333333333333333,-1302884743802106423,1,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.0
https://www.cronista.com/economia-politica/Carrio-Cristina-Kirchner-ya-perdio-poner-a-Alberto-Fernandez-fue-un-acto-de-desesperacion-20190629-0011.html,El Cronista,0.142857142857142,-3395639142692459169,-1,1,-1,1,-1,0,-1,1,-1,1,-1,-1,-1,1,1.0
https://www.infobae.com/politica/2019/10/08/mauricio-macri-se-lesiono-jugando-al-futbol-debe-usar-una-faja-durante-su-actividad-de-campana/,Infobae,-0.5,-8491956982779501575,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0.0
https://www.eldestapeweb.com/nota/elecciones-2019-el-emotivo-video-de-campana-de-alberto-fernandez-sobre-la-historia-argentina-2019104960,El Destape,0.333333333333333,2422477898870905862,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1.0
https://www.lanacion.com.ar/opinion/el-mito-de-la-nacion-catolica-nid1907503/,La Nacion,-1.0,-3352887454006048493,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0
https://www.eldestapeweb.com/nota/el-pedido-de-luis-majul-a-alberto-fernandez-y-a-mauricio-macri-201982823250,El Destape,0.0,714555460647333132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://www.ambito.com/miguel-angel-pichetto/pichetto-planteo-dinamitar-las-villas-donde-se-vende-droga-n5058004,Ambito Financiero,-0.333333333333333,-6667922274181109519,0,-1,0,-1,0,-1,0,-1,0,1,0,-1,0,-1,-1.0
https://www.perfil.com/noticias/politica/marcos-pena-dijo-hay-intencionalidad-politica-de-que-cristina-kirchner-no-vaya-a-juicio.phtml?rd=1,Perfil,0.2,-2709109034329651143,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1.0
https://radiomitre.cienradios.com/juan-leyrado-la-corrupcion-k-estan-tratando-inventar-causas-muchos-sigan-presos/?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=nota&utm_content=MitreShow&utm_source=Twitter#Echobox=1564401828,Radio Mitre,-1.0,-3612717963233147689,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1.0
https://www.eldia.com/nota/2019-8-14-10-8-0-plata-en-el-bolsillo-la-formula-del-gobierno-para-tratar-de-afirmarse-en-el-tembladeral-politica-y-economia,El Dia,-0.571428571428571,-4912312221420731777,0,0,0,1,0,-1,0,1,0,-1,0,-1,0,-1,-1.0
https://www.clarin.com/politica/juan-manuel-urtubey-baja-distrito-pj-intendente-recibe_0_3yIC-fndG.html?utm_source=dlvr.it&utm_medium=twitter,Clarin,0.5,456360531629180567,-1,0,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,1.0
https://www.laizquierdadiario.com/Nuevo-aval-del-FMI-a-Macri-Lipton-aprobo-el-proximo-desembolso-por-U-S-5-400-millones,La Izquierda Diario,0.0,6143532770720159767,0,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,-1.0
https://www.perfil.com/noticias/politica/vidal-respondio-punto-por-punto-a-cristina-maximo-y-kicillof-sobre-la-campana-sucia.phtml?rd=1,Perfil,0.4,-6390880297659807171,-1,0,-1,0,-1,0,-1,0,-1,1,-1,-1,-1,0,1.0
https://www.eldestapeweb.com/nota/elecciones-2019-segun-mauricio-macri-no-trajimos-la-pobreza-solo-la-visibilizamos--20191071220?utm_medium=Notificacion&utm_source=Direct,El Destape,-1.0,-4406280088979610642,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,-1,-1.0
https://www.lanacion.com.ar/espectaculos/personajes/angela-torres-confeso-practica-poliamor-su-novio-nid2284941/,La Nacion,-1.0,7258366332922526215,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,-1.0
https://radiomitre.cienradios.com/las-paso-indultaron-cristina-alfredo-leuco/?utm_source=twitter&utm_medium=nota&utm_campaign=socialshare,Radio Mitre,0.3125,-1965311678811983057,-1,0,-1,0,-1,0,-1,0,1,-1,-1,0,-1,0,1.0
https://www.eldestapeweb.com/nota/camano-el-gobierno-decidio-que-fueramos-un-40-mas-pobres-despues-de-las-paso--201982518410,El Destape,0.0,4834874554417201737,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1.0
https://www.cronista.com/economiapolitica/Macri-y-la-pobreza-la-meta-que-no-pudo-cumplir-20190930-0031.html,El Cronista,-0.333333333333333,453315185193077989,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1.0
https://www.eldestapeweb.com/nota/elecciones-2019-el-peronismo-confia-en-ampliar-la-diferencia-en-santa-fe-201982714200,El Destape,-0.5,8526641852432902208,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,-1.0
https://www.perfil.com/noticias/politica/video-segun-nelson-castro-cristina-miente-cuando-dice-que-no-es-bipolar-1106-0084.phtml,Perfil,0.25,-1486151661447314201,-1,0,-1,0,-1,0,1,0,-1,0,-1,0,-1,0,1.0
https://www.infobae.com/politica/2019/07/12/mauricio-macri-podemos-entrar-en-la-mejor-epoca-de-nuestra-historia-o-caer-en-lo-peor-que-le-puede-pasar-al-pais/,Infobae,-0.333333333333333,6202666966386505602,-1,0,-1,1,0,1,-1,1,0,1,-1,0,-1,1,1.0
https://www.infobae.com/politica/2019/09/19/el-empresario-fabien-de-sousa-insistio-en-culpar-a-mauricio-macri-por-su-detencion/,Infobae,0.0,-4522278644845425323,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1.0
https://tn.com.ar/opinion/alberto-fernandez-apuesta-al-colapso-y-mauricio-macri-acelerar-por-este-camino-que-es-peor_983462/,Todo Noticias,-0.4,-3879227906405420709,-1,0,-1,1,0,0,-1,1,-1,1,-1,0,-1,0,1.0
https://tn.com.ar/politica/la-corte-suprema-devolvera-en-tiempo-y-forma-el-expediente-de-cristina-kirchner-y-el-juicio-podria_962875/,Todo Noticias,0.0,4971494823540260240,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0.0
https://www.lanacion.com.ar/el-mundo/paradoja-el-milagro-economico-de-peru-inmunea-las-recurrentes-tormentas-politicas-nid2294560/,La Nacion,1.0,-5780405143637995836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://tn.com.ar/economia/carolina-stanley-explico-por-que-mauricio-macri-no-hizo-una-presentacion-formal-de-las-medidas_955829/,Todo Noticias,0.0,-2280653544039954800,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1.0
https://www.perfil.com/noticias/actualidad/mauricio-macri-dijo-digamosle-al-que-nos-voto-que-lo-necesitamos-que-no-perdamos-este-esfuerzo.phtml,Perfil,-0.2,-1886541955260555051,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0
https://www.clarin.com/politica/salud-florencia-kirchner-razones-sorpresivo-viaje-cristina-cuba_0_LEkk3fiw.html,Clarin,0.2,-3128882623272121860,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,1.0
https://www.ambito.com/politica/elecciones-2019/tras-su-breve-paso-la-asamblea-la-onu-macri-retomo-la-campana-junto-vidal-n5056463,Ambito Financiero,0.0,162046142580806275,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1.0
https://tn.com.ar/politica/el-whatsapp-de-marcos-pena-que-es-furor-en-cambiemos-tras-el-anuncio-de-cristina_963504/,Todo Noticias,0.0,7079218842215424136,0,1,0,1,-1,0,-1,1,-1,1,0,0,-1,1,1.0
https://www.contextotucuman.com/nota/163732/cambiemos-dejaria-un-piso-de-40_por_ciento-de-pobreza-en-2019-representa-4-5-millones-de-%E2%80%9Cnuevos%E2%80%9D-pobres.html#.XXlkot6oU_4.twitter,Contexto,-1.0,-407609556282023209,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1.0
